MEDICAL CONCEPT LABEL,MEDICAL CONCEPT ID
"cpt::Repair, paraesophageal hiatal hernia (including fundoplication), via laparotomy, except neonatal; without implantation of mesh or other prosthesis::43332::C3521753|C3514058|C2939237",5611
"cpt::Repair, paraesophageal hiatal hernia, (including fundoplication), via thoracoabdominal incision, except neonatal; without implantation of mesh or other prosthesis::43336::C2939241|C3521763|C3514058|C3521762",5612
"cpt::Repair, primary, disrupted ligament, ankle; both collateral ligaments::27696::C3512978|C3707882|C3519691|C0371235",5613
"cpt::Repair, primary, disrupted ligament, ankle; collateral::27695::C0371234|C3512977|C3519691",5614
"cpt::Repair, primary, open or percutaneous, ruptured achilles tendon::1014587::C0371224",5615
"cpt::Repair, primary, open or percutaneous, ruptured achilles tendon::27650::C0188685|C1283029|C0371224|C3703051",5616
"cpt::Repair, primary, open or percutaneous, ruptured achilles tendon; with graft (includes obtaining graft)::27652::C3703052|C0371225|C3707817|C0188686|C1260983",5617
"cpt::Repair, primary, torn ligament and/or capsule, knee; collateral and cruciate ligaments::27409::C3519497|C3512889|C3519498|C0188129",5618
"cpt::Repair, primary, torn ligament and/or capsule, knee; collateral::27405::C0188124|C3519497|C3527541|C0188125|C0371170",5619
"cpt::Repair, primary, torn ligament and/or capsule, knee; cruciate::27407::C0188127|C0371171|C3519497|C0188128|C3512888",5620
"cpt::Repair, secondary, achilles tendon, with or without graft::27654::C3519674|C3707818|C0188687|C3519675|C3512965",5621
"cpt::Repair, secondary, disrupted ligament, ankle, collateral (eg, watson-jones procedure)::27698::C0371236|C3519692|C3512977",5622
"cpt::Repair, tendon or muscle, extensor, forearm and/or wrist; primary, single, each tendon or muscle::25270::C3706871|C3518955|C0370972|C3518952|C3706873|C3518953|C2091120|C3706868|C3512615|C3706870|C3706872|C3518954|C3706869|C2091127",5623
"cpt::Repair, tendon or muscle, extensor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle::25274::C3518956|C3518960|C3706875|C3706878|C3706876|C2170367|C3518957|C3706877|C3702893|C3706879|C3518958|C3518959|C3706874|C0370974",5624
"cpt::Repair, tendon or muscle, flexor, forearm and/or wrist; primary, single, each tendon or muscle::25260::C2091123|C3518943|C3706852|C2091116|C3518944|C3706850|C3518942|C3706851|C3706854|C3518945|C3512615|C3706853|C0370969|C3706855",5625
"cpt::Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, single, each tendon or muscle::25263::C2091123|C3518943|C2091116|C3518944|C3706860|C3706856|C3706861|C3706857|C3518942|C3706858|C3518945|C3512615|C0370970|C3706859",5626
"cpt::Repair, tendon or muscle, flexor, forearm and/or wrist; secondary, with free graft (includes obtaining graft), each tendon or muscle::25265::C3706864|C3518946|C3518948|C3706865|C3518950|C3518949|C3706866|C3702893|C0370971|C3706863|C3706867|C3518951|C3518947|C3706862",5627
"cpt::Repair, tendon or muscle, upper arm or elbow, each tendon or muscle, primary or secondary (excludes rotator cuff)::24341::C3518739|C3518742|C3518735|C3512545|C3518740|C3518741|C3518736|C3518737|C3518738|C0519767",5628
"cpt::Repair, tendon sheath, extensor, forearm and/or wrist, with free graft (includes obtaining graft) (eg, for extensor carpi ulnaris subluxation)::25275::C3706881|C3518963|C0973269|C3706880|C3518961|C3706882|C3706884|C3706885|C3518962|C3706883|C3702894",5629
"cpt::Repair, tendon, extensor, foot; primary or secondary, each tendon::28208::C2091968|C3519872|C3496077|C0371293|C2091967",5630
"cpt::Repair, tendon, flexor, foot; primary or secondary, without free graft, each tendon::28200::C3708164|C3519870|C3708165|C3496077|C2091965|C3708166|C0371291",5631
"cpt::Replacement (including removal of existing device), osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; with mastoidectomy::69718::C3703779|C3525125|C3525126|C0918136|C3525127",5632
"cpt::Replacement (including removal of existing device), osseointegrated implant, temporal bone, with percutaneous attachment to external speech processor/cochlear stimulator; without mastoidectomy::69717::C3525123|C3525122|C3525124|C3703777|C0918135",5633
"cpt::Replacement of all or part of ureter by intestine segment, including intestine anastomosis::50840::C3522697|C3867847|C0194338|C3703552|C3867848|C3522696",5634
cpt::Replacement of bone flap or prosthetic plate of skull::62143::C3515215|C0372797|C0196032|C0195910,5635
"cpt::Replacement of duodenostomy or jejunostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report::49451::C3522397|C3522398|C1964213|C3522400|C3703511|C3522399",5636
"cpt::Replacement of extracorporeal ventricular assist device, single or biventricular, pump(s), single or each pump::33981::C3513614|C3868872|C3520687|C3520688|C3868873|C2724270",5637
"cpt::Replacement of gastrostomy or cecostomy (or other colonic) tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report::49450::C1964212|C3703510|C3522393|C3522395|C3522394|C3522396|C3522391|C3522392",5638
cpt::Replacement of tissue expander with permanent prosthesis::11970::C0191401,5639
"cpt::Replacement of ventricular assist device pump(s); implantable intracorporeal, single ventricle, with cardiopulmonary bypass::33983::C3513615|C2724272",5640
"cpt::Replacement of ventricular assist device pump(s); implantable intracorporeal, single ventricle, without cardiopulmonary bypass::33982::C3513614|C3520689|C3868871|C2724271",5641
"cpt::Replacement or irrigation, subarachnoid/subdural catheter::62194::C3515228|C3524269|C0372802|C3524271|C3524270|C3524272",5642
"cpt::Replacement or irrigation, ventricular catheter::62225::C0196068|C0372805|C0196051|C3515230",5643
"cpt::Replacement or repair of implantable component or components of total replacement heart system (artificial heart), excluding thoracic unit::0053T::C3517514|C1314149",5644
"cpt::Replacement or revision of cerebrospinal fluid shunt, obstructed valve, or distal catheter in shunt system::62230::C3524277|C3515231|C3524274|C3524276|C3524278|C2066802|C0372806|C3524275",5645
"cpt::Replacement, aortic valve, with cardiopulmonary bypass; with allograft valve (freehand)::33406::C3513485|C0371535",5646
"cpt::Replacement, aortic valve, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve::33405::C3513485|C3520532|C0371534",5647
"cpt::Replacement, aortic valve, with cardiopulmonary bypass; with stentless tissue valve::33410::C0812483|C3513486",5648
"cpt::Replacement, aortic valve::1006151::C0003506",5649
"cpt::Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (ross procedure)::33413::C0371536|C3513489",5650
"cpt::Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus::33411::C3513487|C0190159",5651
"cpt::Replacement, aortic valve; with transventricular aortic annulus enlargement (konno procedure)::33412::C0190160|C3513488",5652
"cpt::Replacement, catheter only, of central venous access device, with subcutaneous port or pump, central or peripheral insertion site::36578::C3521119|C1314043|C3513778|C3868123|C3521118",5653
"cpt::Replacement, complete, of a non-tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access::36580::C3868122|C3868120|C1314044|C3513779|C3521120",5654
"cpt::Replacement, complete, of a peripherally inserted central venous catheter (picc), without subcutaneous port or pump, through same venous access::36584::C3521124|C3513782|C1314048|C3868118",5655
"cpt::Replacement, complete, of a tunneled centrally inserted central venous access device, with subcutaneous port, through same venous access::36582::C3868120|C3513779|C1314046|C3521122",5656
"cpt::Replacement, complete, of a tunneled centrally inserted central venous access device, with subcutaneous pump, through same venous access::36583::C1314047|C3868119|C3513779|C3521123",5657
"cpt::Replacement, complete, of a tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access::36581::C3521121|C3868120|C3513779|C3868121|C1314045",5658
"cpt::Replacement, irrigation or revision of lumbosubarachnoid shunt::63744::C0196497|C0196396|C0196498|C3515315|C0372903",5659
"cpt::Replacement, mitral valve, with cardiopulmonary bypass::33430::C0190145|C3513499",5660
"cpt::Replacement, pulmonary valve::33475::C3513508|C0190129",5661
"cpt::Replacement, tricuspid valve, with cardiopulmonary bypass::33465::C0190120|C3513503",5662
"cpt::Replantation, arm (includes surgical neck of humerus through elbow joint), complete amputation::20802::C0370651|C3705748|C3705749|C3512184",5663
"cpt::Replantation, digit, excluding thumb (includes distal tip to sublimis tendon insertion), complete amputation::20822::C3705752|C0187542|C3705754|C3705751|C3512188",5664
"cpt::Replantation, digit, excluding thumb (includes metacarpophalangeal joint to insertion of flexor sublimis tendon), complete amputation::20816::C0187540|C3705752|C3512187|C3705751|C3705753",5665
"cpt::Repositioning of a naso- or oro-gastric feeding tube, through the duodenum for enteric nutrition::43761::C3521836|C3521837|C3514098|C0372034",5666
"cpt::Repositioning of intraocular lens prosthesis, requiring an incision (separate procedure)::66825::C0373016|C3524916|C3515524",5667
"cpt::Repositioning of previously implanted cardiac venous system (left ventricular) electrode (including removal, insertion and/or replacement of existing generator)::33226::C3520485|C3520486|C1144615|C3520484|C3513442|C3520487",5668
"cpt::Repositioning of previously implanted cardiac venous system (left ventricular) electrode (including removal, insertion and/or replacement of generator)",5669
cpt::Repositioning of previously implanted transvenous pacemaker or pacing cardioverter-defibrillator (right atrial or right ventricular) electrode,5670
cpt::Repositioning of previously placed central venous catheter under fluoroscopic guidance::36597::C0371808|C2316530,5671
"cpt::Repositioning of the gastric feeding tube, any method, through the duodenum for enteric nutrition",5672
"cpt::Repositioning of the gastric feeding tube, through the duodenum for enteric nutrition",5673
cpt::Reprogramming of programmable cerebrospinal shunt::62252::C0918127,5674
cpt::Reptilase test::85635::C0373816|C3516413,5675
"cpt::Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy::1014214::C0195500",5676
"cpt::Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy::58950::C3703643|C0195500|C3523424|C3867392|C3523425",5677
"cpt::Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with radical dissection for debulking (ie, radical excision or destruction, intra-abdominal or retroperitoneal tumors)::58952::C3523430|C3523432|C3703645|C3523431|C0372621",5678
"cpt::Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with total abdominal hysterectomy, pelvic and limited para-aortic lymphadenectomy::58951::C3523427|C3703644|C3523429|C0195502|C3523428",5679
"cpt::Resection (tumor debulking) of recurrent ovarian, tubal, primary peritoneal, uterine malignancy (intra-abdominal, retroperitoneal tumors), with omentectomy, if performed::1014792::C1738543",5680
"cpt::Resection (tumor debulking) of recurrent ovarian, tubal, primary peritoneal, uterine malignancy (intra-abdominal, retroperitoneal tumors), with omentectomy, if performed::58957::C3523437|C1738543|C3523439|C3523442|C3523435|C3523436|C3523438|C3523440|C3523441|C3515029",5681
"cpt::Resection (tumor debulking) of recurrent ovarian, tubal, primary peritoneal, uterine malignancy (intra-abdominal, retroperitoneal tumors), with omentectomy, if performed; with pelvic lymphadenectomy and limited para-aortic lymphadenectomy::58958::C3523449|C3523450|C3523446|C3523447|C3523444|C3523443|C3523445|C1737193|C3515029|C3523448",5682
cpt::Resection and repair of portion of bronchus (bronchoplasty) when performed at time of lobectomy or segmentectomy (list separately in addition to code for primary procedure)::32501::C3513357|C3520383|C0371456,5683
"cpt::Resection of apical lung tumor (eg, pancoast tumor), including chest wall resection, rib(s) resection(s), neurovascular dissection, when performed; with chest wall reconstruction::32504::C3520388|C3520390|C3520389|C2186795|C1608992|C3513359",5684
cpt::Resection of elbow joint (arthrectomy)::24155::C0186503|C3512534,5685
cpt::Resection of external cardiac tumor::33130::C3513426|C0189792,5686
"cpt::Resection of lateral pharyngeal wall or pyriform sinus, direct closure by advancement of lateral and posterior pharyngeal walls::42892::C0192221|C3521446|C3521447|C3513990|C0371955",5687
"cpt::Resection of lip, more than one-fourth, without reconstruction::40530::C3521296|C3521295|C0371882|C3496071",5688
cpt::Resection of mediastinal cyst::39200::C3248105,5689
cpt::Resection of mediastinal tumor::39220::C3248106,5690
cpt::Resection of palate or extensive resection of lesion::42120::C3521386|C3513948|C0192016|C0192013,5691
cpt::Resection of pericardial cyst or tumor::33050::C3703185|C3520459|C3520460|C3248085,5692
"cpt::Resection of ribs, extrapleural, all stages::32900::C3496543|C0198359|C2066447",5693
cpt::Resection of scrotum::55150::C0403190|C3514814,5694
cpt::Resection or debridement of pancreas and peripancreatic tissue for acute necrotizing pancreatitis::48105::C0372227|C3522284|C3514374|C3522285,5695
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; extradural::61600::C3523817|C0372754|C3523813|C3523816|C3523818|C3523814|C3515173|C3523815",5696
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of base of anterior cranial fossa; intradural, including dural repair, with or without graft::61601::C0372755|C3523824|C3523828|C3523831|C3523833|C3523826|C3523821|C3523829|C3523836|C3523825|C3523834|C3523830|C3523832|C3523820|C3523827|C3523819|C3515173|C3523822|C3523835|C3523823",5697
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or c1-c3 vertebral bodies; extradural::61615::C3524031|C3524024|C3524012|C3524020|C3524019|C3524027|C3524021|C3524028|C3524029|C3524016|C3524014|C3524017|C3524030|C3524010|C3524023|C3524009|C3524025|C3524013|C3515177|C3524026|C3524022|C3524015|C3524011|C3524018|C0372765",5698
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of base of posterior cranial fossa, jugular foramen, foramen magnum, or c1-c3 vertebral bodies; intradural, including dural repair, with or without graft::61616::C3524044|C3524036|C3524098|C3524060|C3524075|C3524067|C3524055|C3524068|C3524091|C3524099|C3524094|C3524063|C3524056|C3524032|C3524043|C3524080|C3524087|C3524065|C3524096|C3524052|C3524038|C3524077|C3524069|C3524076|C3524045|C3524053|C3524040|C3524084|C3524092|C0372766|C3524079|C3524102|C3524048|C3524072|C3524041|C3524037|C3524061|C3524074|C3524097|C3524054|C3524093|C3524064|C3524062|C3524049|C3524033|C3524050|C3524088|C3524057|C3524073|C3515177|C3524081|C3524086|C3524059|C3524066|C3524035|C3524082|C3524090|C3524051|C3524039|C3524101|C3524070|C3524083|C3524100|C3524046|C3524085|C3524078|C3524047|C3524095|C3524089|C3524058|C3524071|C3524034|C3524042",5699
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; extradural::61605::C3523848|C3523841|C3523843|C3523851|C3523844|C0372756|C3523852|C3523845|C3523840|C3523842|C3523849|C3523850|C3523837|C3523838|C3523839|C3523847|C3515173|C3523846",5700
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of infratemporal fossa, parapharyngeal space, petrous apex; intradural, including dural repair, with or without graft::61606::C3523902|C3523904|C3523879|C3523892|C3523855|C3523872|C3523865|C3523898|C3523867|C3523880|C3523899|C3523868|C3523875|C3523891|C3523864|C3523877|C3523869|C3523895|C3523893|C3523888|C3523857|C3523860|C3523896|C3523901|C3523853|C3523876|C3523884|C3523903|C3523878|C3523886|C3523885|C3523854|C3523862|C3523873|C3523874|C3523881|C3523861|C3523871|C3523863|C3523858|C3515173|C3523894|C3523887|C0372757|C3523856|C3523897|C3523866|C3523859|C3523882|C3523890|C3523889|C3523870|C3523883|C3523900",5701
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; extradural::61607::C3523917|C3523909|C3523913|C3523926|C3523928|C3523905|C3523916|C3523925|C3523918|C3523911|C3523921|C3523914|C3523910|C3523920|C3523927|C3523922|C3523906|C3523923|C3523924|C3523919|C3515173|C3523912|C3523915|C3523907|C0372758|C3523908",5702
"cpt::Resection or excision of neoplastic, vascular or infectious lesion of parasellar area, cavernous sinus, clivus or midline skull base; intradural, including dural repair, with or without graft::61608::C3523964|C3523933|C3523977|C3523941|C3523940|C3523957|C3523965|C3523960|C3523967|C3523991|C3523936|C3523953|C3523984|C3523929|C3523969|C3523938|C3523993|C3523985|C3523962|C3523973|C3523942|C3523949|C3523952|C3523981|C3523988|C3523950|C0372759|C3523976|C3523974|C3523937|C3523945|C3523961|C3523947|C3523963|C3523971|C3523934|C3523978|C3523958|C3523966|C3523959|C3523990|C3523935|C3523954|C3523946|C3523970|C3523983|C3523930|C3523968|C3523932|C3523939|C3523986|C3523992|C3523955|C3523972|C3523980|C3515173|C3523987|C3523943|C3523979|C3523956|C3523948|C3523982|C3523951|C3523989|C3523931|C3523975|C3523944",5703
cpt::Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis::33415::C0189763|C0371538|C3513491|C0189793,5704
cpt::Resection or transplantation of long tendon of biceps::23440::C3706431|C3512477|C3706432|C0370865,5705
"cpt::Resection temporal bone, external approach::69535::C0198140|C3515684",5706
"cpt::Resection, condyle(s), distal end of phalanx, each toe::28153::C0188554|C3519867|C3513053",5707
"cpt::Resection, diaphragm; with complex repair (eg, prosthetic material, local muscle flap)::39561::C3513887|C0812493|C3521282",5708
"cpt::Resection, diaphragm; with simple repair (eg, primary suture)::39560::C3513887|C0812492|C3521282",5709
"cpt::Resection, humeral head::23195::C0186461|C3512466",5710
"cpt::Resection, partial or complete, phalangeal base, each toe::28126::C0371289|C3519865|C3513050|C3519866",5711
cpt::Respiratory flow volume loop::94375::C3517139|C0199507,5712
"cpt::Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each::90378::C0812557|C2922223|C3516699",5713
"cpt::Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed::37193::C3868078|C3868077|C3868079|C3703302|C3868080|C3248103|C3868076|C3521170",5714
"cpt::Retrobulbar injection; medication (separate procedure, does not include supply of medication)::67500::C3515583|C0196999",5715
"cpt::Retroperitoneal transabdominal lymphadenectomy, extensive, including pelvic, aortic, and renal nodes (separate procedure)::38780::C3708370|C3513878|C3867937|C0371869",5716
"cpt::Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed::37225::C3703317|C3868041|C3868043|C3868038|C3868039|C3868044|C3868040|C3868042|C3868037|C2939222",5717
"cpt::Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty::37224::C3868046|C3868048|C2939221|C3868047|C3703316|C3868045",5718
"cpt::Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed::37227::C3868027|C3868022|C2939224|C3868024|C3868026|C3868028|C3868023|C3703319|C3868021|C3868025",5719
"cpt::Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed::37226::C3868035|C3868036|C3703318|C3868031|C3868033|C3868029|C4052265|C4052266|C3868032|C2939223",5720
"cpt::Revascularization, endovascular, open or percutaneous, iliac artery, each additional ipsilateral iliac vessel; with transluminal angioplasty (list separately in addition to code for primary procedure)::37222::C2939219|C3521184|C3703314|C3521183",5721
"cpt::Revascularization, endovascular, open or percutaneous, iliac artery, each additional ipsilateral iliac vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed (list separately in addition to code for primary procedure)::37223::C2939220|C3703315|C3521185|C3521186|C3868049",5722
"cpt::Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty::37220::C2939217|C3521177|C3703312|C3521178",5723
"cpt::Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed::37221::C3521180|C3521179|C3703313|C3521181|C2939218|C3521182",5724
"cpt::Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with atherectomy, includes angioplasty within the same vessel, when performed::37229::C3868014|C3703317|C3868017|C3868019|C3868012|C2939226|C3868015|C3868016|C3868018|C3868013",5725
"cpt::Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal angioplasty::37228::C3521202|C3521203|C3868020|C2939225|C3703316|C3521201",5726
"cpt::Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed::37231::C3521200|C3521198|C3521199|C2939228|C3521196|C3703319|C3521195|C3521197",5727
"cpt::Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed::37230::C3521192|C3521191|C3703318|C3521193|C3521194|C3521189|C2939227|C3521190",5728
"cpt::Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal angioplasty (list separately in addition to code for primary procedure)::37232::C3521202|C2939229|C3521203|C3703316|C3521201",5729
"cpt::Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed (list separately in addition to code for primary procedure)::37235::C2939232|C3521204|C3521200|C3521198|C3521199|C3521196|C3703319|C3521195|C3521205|C3521197",5730
"cpt::Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed (list separately in addition to code for primary procedure)::37234::C3521192|C2939231|C3521206|C3521191|C3703318|C3521193|C3521194|C3521189|C3521207|C3521190",5731
"cpt::Review and interpretation by physician or other qualified health care professional of comprehensive computer-based motion analysis, dynamic plantar pressure measurements, dynamic surface electromyography during walking or other functional activities, and dynamic fine wire electromyography, with written report::96004::C0973359|C3517253",5732
"cpt::Revision (including removal) of prosthetic vaginal graft, laparoscopic approach::57426::C3523254|C3523255|C3514923|C2724296",5733
cpt::Revision (including removal) of prosthetic vaginal graft; vaginal approach::57295::C3523238|C2187563|C3523237|C1611240,5734
cpt::Revision and/or reinsertion of transhepatic tube,5735
cpt::Revision fenestration operation::69840::C3515718|C0198248,5736
"cpt::Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, each additional interspace, cervical (list separately in addition to code for primary procedure)::0098T::C1609563|C3517528",5737
"cpt::Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; cervical::22861::C3706322|C2366822|C3512427",5738
"cpt::Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; lumbar::22862::C3512428|C3706323|C1742726",5739
"cpt::Revision including replacement, when performed, of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed::63664::C3866858|C3524639|C2724300|C3524640|C3524643|C3524644|C3524641|C3866859|C3866860|C3515306|C3524642|C3866861",5740
cpt::Revision mastoidectomy; resulting in complete mastoidectomy::69601::C3515689|C0198165,5741
cpt::Revision mastoidectomy; resulting in modified radical mastoidectomy::69602::C2093380|C3515690|C0198167,5742
cpt::Revision mastoidectomy; resulting in radical mastoidectomy::69603::C3515690|C0198166|C3525083,5743
cpt::Revision mastoidectomy; resulting in tympanoplasty::69604::C0198164|C3515691,5744
cpt::Revision mastoidectomy; with apicectomy::69605::C3515690|C0198163,5745
cpt::Revision of aqueous shunt to extraocular equatorial plate reservoir; with graft::66185::C0373001|C3865384|C3865531,5746
cpt::Revision of aqueous shunt to extraocular equatorial plate reservoir; without graft::66184::C0373001|C3866681|C3865532|C3866682|C3865385,5747
"cpt::Revision of arthroplasty, including removal of implant, wrist joint::25449::C3512642|C2585158|C0187193",5748
cpt::Revision of colostomy; complicated (reconstruction in-depth) (separate procedure)::44345::C3703425|C0192990|C3521923,5749
cpt::Revision of colostomy; simple (release of superficial scar) (separate procedure)::44340::C3703424|C2096005|C0553650,5750
cpt::Revision of colostomy; with repair of paracolostomy hernia (separate procedure)::44346::C0192992|C3703426,5751
cpt::Revision of gastroduodenal anastomosis (gastroduodenostomy) with reconstruction; without vagotomy::43850::C0192536|C0372042|C3514113,5752
"cpt::Revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; with vagotomy::43865::C2733387|C0372044|C0192540|C3514113|C3521859",5753
"cpt::Revision of gastrojejunal anastomosis (gastrojejunostomy) with reconstruction, with or without partial gastrectomy or intestine resection; without vagotomy::43860::C0372043|C0192538|C3521858|C3514113",5754
cpt::Revision of ileostomy; complicated (reconstruction in-depth) (separate procedure)::44314::C3703422|C0192774|C3521920,5755
cpt::Revision of ileostomy; simple (release of superficial scar) (separate procedure)::44312::C2367110|C3521919|C3703421,5756
cpt::Revision of implanted intra-arterial infusion pump::36261::C0189643,5757
cpt::Revision of peritoneal-venous shunt::49426::C0198576|C3514430,5758
cpt::Revision of reconstructed breast::19380::C0191921,5759
cpt::Revision of skin pocket for single or dual chamber pacing cardioverter-defibrillator,5760
cpt::Revision of stapedectomy or stapedotomy::69662::C0373125|C3515704|C2019846|C0161869,5761
"cpt::Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft::27137::C0371108|C3707474|C3512815|C3707475|C3519342|C3519344|C3519343",5762
"cpt::Revision of total hip arthroplasty; both components, with or without autograft or allograft::27134::C0186205|C3519340|C3519341|C3707472|C0371107|C0186202|C3707473|C3512814|C0186203",5763
"cpt::Revision of total hip arthroplasty; femoral component only, with or without allograft::27138::C3519345|C3707477|C3519346|C0371109|C3707476|C3512816|C3519347",5764
"cpt::Revision of total knee arthroplasty, with or without allograft::1005095::C3701553",5765
"cpt::Revision of total knee arthroplasty, with or without allograft; 1 component::27486::C3707672|C0845666|C3707675|C3512912|C3707676|C3707673|C0188114|C3707674|C3707677|C3519524",5766
"cpt::Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component::27487::C3707679|C3707678|C3707680|C0188116|C3512913",5767
cpt::Revision of tracheostomy scar::31830::C0189437|C3513331,5768
"cpt::Revision of transvenous intrahepatic portosystemic shunt(s) (tips) (includes venous access, hepatic and portal vein catheterization, portography with hemodynamic evaluation, intrahepatic tract recanulization/dilatation, stent placement and all associated imaging guidance and documentation)::37183::C1144629|C3513807|C2187579",5769
cpt::Revision of urinary-cutaneous anastomosis (any type urostomy)::1014169::C0372335,5770
cpt::Revision of urinary-cutaneous anastomosis (any type urostomy)::50727::C3703547|C2095107|C0372335,5771
cpt::Revision of urinary-cutaneous anastomosis (any type urostomy); with repair of fascial defect and hernia::50728::C2095108|C3703548|C0372336,5772
"cpt::Revision or removal of carotid sinus baroreflex activation device; lead only, unilateral (includes intra-operative interrogation, programming, and repositioning, when performed)::0270T::C3248318",5773
cpt::Revision or removal of cranial neurostimulator pulse generator or receiver::61888::C3524218|C2921030|C3515206|C3524220|C3524219|C0372788,5774
cpt::Revision or removal of implanted spinal neurostimulator pulse generator or receiver::63688::C2066959|C3524651|C3524652|C2066958|C3515308|C0372898,5775
cpt::Revision or removal of intracranial neurostimulator electrodes::61880::C3515204|C0196045|C0196098|C0372786,5776
cpt::Revision or removal of peripheral neurostimulator electrode array::64585::C3524755|C3524756|C0372907,5777
cpt::Revision or removal of peripheral neurostimulator electrodes,5778
cpt::Revision or removal of peripheral or gastric neurostimulator pulse generator or receiver::64595::C3515355|C2053770|C0372909|C2053773|C2187570|C2170032|C2187571|C3524770|C2170031|C3524771,5779
"cpt::Revision or removal of pulse generator or electrodes, including imaging guidance, when performed, including addition of new electrodes, when performed::0284T::C3517626|C3248332",5780
"cpt::Revision or repair of operative wound of anterior segment, any type, early or late, major or minor procedure::66250::C3524913|C0373003|C3515508|C3524912",5781
"cpt::Revision, femoral anastomosis of synthetic arterial bypass graft in groin, open; with autogenous vein patch graft::35884::C3703255|C1737731",5782
"cpt::Revision, lower extremity arterial bypass, without thrombectomy, open; with segmental vein interposition::35881::C0812486|C2585373|C3703253",5783
"cpt::Revision, lower extremity arterial bypass, without thrombectomy, open; with vein patch angioplasty::35879::C2586159|C0812485",5784
"cpt::Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)::36833::C3521156|C3521155|C0695029|C4052270",5785
